date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:36	118/118	---M--	200	added ('OK')	text/plain	date:Mon,%2023%20Dec%202024%2012:38:39%20GMT	https://safeonline.global/robots.txt		(from )
15:38:37	229925/229925	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Dec%202024%2012:38:39%20GMT	https://safeonline.global/	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/index.html	(from )
15:38:38	787/787	---M--	200	added ('OK')	application/rss+xml	etag:%220e7b95f96efb88a185a2e66af6a637ac%22	https://safeonline.global/comments/feed/	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/index-3.html	(from https://safeonline.global/)
15:38:38	256251/256251	---M--	200	added ('OK')	application/rss+xml	etag:%220e7b95f96efb88a185a2e66af6a637ac%22	https://safeonline.global/feed/	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/index-2.html	(from https://safeonline.global/)
15:38:38	9698/9698	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Dec%202024%2012:38:40%20GMT	https://use.typekit.net/uqe1naa.css	C:/My%20Web%20Sites/two%20pages_v2/use.typekit.net/css/uqe1naa.css	(from https://safeonline.global/)
15:38:38	53575/53575	---M-Z	200	added ('OK')	text/css	etag:W/%22675040b2-d147%22	https://safeonline.global/wp-content/plugins/th-widget-pack/assets/icons/icons.css?ver=2.2.6	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/iconsdbc2.css	(from https://safeonline.global/)
15:38:38	2623/2623	---M-Z	200	added ('OK')	text/css	etag:W/%226768e02f-a3f%22	https://safeonline.global/wp-content/plugins/th-widget-pack/css/global.css?ver=1734926383	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/globalb2c9.css	(from https://safeonline.global/)
15:38:38	96325/96325	---M-Z	200	added ('OK')	text/css	etag:W/%22674da509-17845%22	https://safeonline.global/wp-content/plugins/bdthemes-element-pack-lite/assets/css/bdt-uikit.css?ver=3.17.0	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/bdt-uikite7ad.css	(from https://safeonline.global/)
15:38:39	38036/38036	---M-Z	200	added ('OK')	text/css	etag:W/%22675aa2b3-9494%22	https://safeonline.global/wp-content/plugins/bdthemes-element-pack-lite/assets/css/ep-helper.css?ver=5.5.2	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/ep-helper4245.css	(from https://safeonline.global/)
15:38:39	1222/1222	---M-Z	200	added ('OK')	text/css	etag:W/%22674833fd-4c6%22	https://safeonline.global/wp-content/plugins/th-widget-pack/header-footer/assets/css/header-footer-elementor.css?ver=2.2.6	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/header-footer-elementordbc2.css	(from https://safeonline.global/)
15:38:39	118630/118630	---M-Z	200	added ('OK')	text/css	etag:W/%22675b67c4-1cf66%22	https://safeonline.global/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.19.4	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/frontend-lite.min6e54.css	(from https://safeonline.global/)
15:38:39	16471/16471	---M-Z	200	added ('OK')	text/css	etag:W/%22675dba2b-4057%22	https://safeonline.global/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/swiper.min94a4.css	(from https://safeonline.global/)
15:38:39	5310/5310	---M-Z	200	added ('OK')	text/css	etag:W/%2267605847-14be%22	https://safeonline.global/wp-content/uploads/elementor/css/post-6.css?ver=1734367303	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/post-6f5e0.css	(from https://safeonline.global/)
15:38:40	11053/11053	---M-Z	200	added ('OK')	text/css	etag:W/%2267458cce-2b2d%22	https://safeonline.global/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.19.3	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/frontend-lite.mince54.css	(from https://safeonline.global/)
15:38:40	50946/50946	---M-Z	200	added ('OK')	text/css	etag:W/%226762da52-c702%22	https://safeonline.global/wp-content/uploads/elementor/css/post-1675.css?ver=1734531666	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/post-1675165b.css	(from https://safeonline.global/)
15:38:40	80920/80920	---M-Z	200	added ('OK')	text/css	etag:W/%22675aa2b4-13c18%22	https://safeonline.global/wp-content/plugins/th-widget-pack/header-footer/inc/widgets-css/frontend.css?ver=2.2.6	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/frontenddbc2.css	(from https://safeonline.global/)
15:38:40	11473/11473	---M-Z	200	added ('OK')	text/css	etag:W/%2267591f4e-2cd1%22	https://safeonline.global/wp-content/themes/twentyseventeen/assets/fonts/font-libre-franklin.css?ver=20230328	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/font-libre-franklin6a62.css	(from https://safeonline.global/)
15:38:41	84098/84098	---M-Z	200	added ('OK')	text/css	etag:W/%22673e113e-14882%22	https://safeonline.global/wp-content/themes/twentyseventeen/style.css?ver=20230808	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/style3b40.css	(from https://safeonline.global/)
15:38:41	10745/10745	---M-Z	200	added ('OK')	text/css	etag:W/%226744ac51-29f9%22	https://safeonline.global/wp-content/themes/twentyseventeen/assets/css/blocks.css?ver=20220912	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/blocks1cd1.css	(from https://safeonline.global/)
15:38:41	413/413	---M-Z	200	added ('OK')	text/css	etag:W/%2267591f4d-19d%22	https://safeonline.global/wp-content/plugins/elementor/assets/css/modules/lazyload/frontend.min.css?ver=3.19.4	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/frontend.min6e54.css	(from https://safeonline.global/)
15:38:41	8254/8254	---M-Z	200	added ('OK')	text/css	etag:W/%226763aa9b-203e%22	https://safeonline.global/wp-content/uploads/elementor/css/post-4488.css?ver=1734584987	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/post-448861b7.css	(from https://safeonline.global/)
15:38:42	7012/7012	---M-Z	200	added ('OK')	text/css	etag:W/%2267605847-1b64%22	https://safeonline.global/wp-content/uploads/elementor/css/post-3890.css?ver=1734367303	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/post-3890f5e0.css	(from https://safeonline.global/)
15:38:42	11900/11900	---M-Z	200	added ('OK')	text/css	etag:W/%2267605847-2e7c%22	https://safeonline.global/wp-content/uploads/elementor/css/post-3868.css?ver=1734367303	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/post-3868f5e0.css	(from https://safeonline.global/)
15:38:42	15687/15687	---M-Z	200	added ('OK')	text/css	etag:W/%2267605847-3d47%22	https://safeonline.global/wp-content/uploads/elementor/css/post-2387.css?ver=1734367303	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/post-2387f5e0.css	(from https://safeonline.global/)
15:38:42	16521/16521	---M-Z	200	added ('OK')	text/css	etag:W/%2267605847-4089%22	https://safeonline.global/wp-content/uploads/elementor/css/post-2158.css?ver=1734367303	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/post-2158f5e0.css	(from https://safeonline.global/)
15:38:43	30999/30999	---M-Z	200	added ('OK')	text/css	etag:W/%22675b67c5-7917%22	https://safeonline.global/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/font-awesome.min1849.css	(from https://safeonline.global/)
15:38:43	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22673cea47-15601%22	https://safeonline.global/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/jquery.minf43b.js	(from https://safeonline.global/)
15:38:43	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2267581d4d-3509%22	https://safeonline.global/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/jquery-migrate.min5589.js	(from https://safeonline.global/)
15:38:44	209158/209158	---M-Z	200	added ('OK')	application/json	date:Mon,%2023%20Dec%202024%2012:38:46%20GMT	https://safeonline.global/wp-json/	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/index-4.html	(from https://safeonline.global/)
15:38:44	64997/64997	---M-Z	200	added ('OK')	application/json	date:Mon,%2023%20Dec%202024%2012:38:46%20GMT	https://safeonline.global/wp-json/wp/v2/pages/1675	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/json/1675.json	(from https://safeonline.global/)
15:38:44	146/146	---M-Z	403	error ('Forbidden')	text/html	date:Mon,%2023%20Dec%202024%2012:38:47%20GMT	https://safeonline.global/xmlrpc.php?rsd	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/php/xmlrpc0db0.php	(from https://safeonline.global/)
15:38:45	2049/2049	---M-Z	200	added ('OK')	application/json	date:Mon,%2023%20Dec%202024%2012:38:47%20GMT	https://safeonline.global/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsafeonline.global%2F	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/json/embedb37b.json	(from https://safeonline.global/)
15:38:45	2211/2211	---M-Z	200	added ('OK')	text/xml	date:Mon,%2023%20Dec%202024%2012:38:48%20GMT	https://safeonline.global/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsafeonline.global%2F&format=xml	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/other/embeddfaf	(from https://safeonline.global/)
15:38:45	892/892	---M--	200	added ('OK')	image/png	etag:%22654281bf-37c%22	https://safeonline.global/wp-content/uploads/2023/10/cropped-Favicon-32x32.png	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/png/cropped-favicon-32x32.png	(from https://safeonline.global/)
15:38:45	5950/5950	---M--	200	added ('OK')	image/png	etag:%22674ed2bd-173e%22	https://safeonline.global/wp-content/uploads/2023/10/cropped-Favicon-192x192.png	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/png/cropped-favicon-192x192.png	(from https://safeonline.global/)
15:38:46	5572/5572	---M--	200	added ('OK')	image/png	etag:%22674ed2bd-15c4%22	https://safeonline.global/wp-content/uploads/2023/10/cropped-Favicon-180x180.png	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/png/cropped-favicon-180x180.png	(from https://safeonline.global/)
15:38:46	38923/38923	---M--	200	added ('OK')	image/png	etag:%22654281bf-980b%22	https://safeonline.global/wp-content/uploads/2023/09/Asset-2-e1697189969525-1024x387.png	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/png/asset-2-e1697189969525-1024x387.png	(from https://safeonline.global/)
15:38:46	26887/26887	---M-Z	200	added ('OK')	text/css	etag:W/%22675dba2b-6907%22	https://safeonline.global/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/widget-nav-menu.min.css	(from https://safeonline.global/)
15:38:46	9978/9978	---M-Z	200	added ('OK')	text/css	etag:W/%2267615204-26fa%22	https://safeonline.global/wp-content/plugins/elementor-pro/assets/css/widget-theme-elements.min.css	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/widget-theme-elements.min.css	(from https://safeonline.global/)
15:38:47	11688/11688	---M-Z	200	added ('OK')	text/css	etag:W/%2267458cce-2da8%22	https://safeonline.global/wp-content/plugins/elementor-pro/assets/css/widget-animated-headline.min.css	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/css/widget-animated-headline.min.css	(from https://safeonline.global/)
15:38:48	186580/186580	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Dec%202024%2012:38:50%20GMT	https://safeonline.global/who-we-are/	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/index-5.html	(from https://safeonline.global/)
